SP80053ControlDetailIndex,SP80053ID,SP80053ControlDetailID,SP80053ControlDetailEnhancement,SP80053ControlDetailEnhancementID,SP80053ControlDetailEnhancementTitle,SP80053ControlDetailShortTitle,SP80053ControlDetailDescription,SP80053ControlDetailAssignment,SP80053ControlDetailTier,SP80053ControlDetailDesignation,SP80053ControlDetailSupplementalGuidance,SP80053ControlDetailReference,SP80053ControlDetailPriority,SP80053ControlDetailAssurance,SP80053ControlDetailBaseline,SP80053ControlDetailBaselineMod,SP80053ControlDetailBaselineHigh,SP80053ControlIndex
350,CM-11 (2),11 (2),1,2,Prohibit Installation Without Privileged Status,Prohibit Installation Without Privileged Status,The information system prohibits user installation of software without explicit privileged status.,,Information System,,,,P1,0,0,0,0,62
351,CM-11a,11a,0,,,,The organization establishes [Assignment: organization-defined policies] governing the installation of software by users;,Assignment: organization-defined policies,Organization,,,,P1,0,1,1,1,62
352,CM-11b,11b,0,,,,The organization enforces software installation policies through [Assignment: organization-defined methods].,Assignment: organization-defined methods,Organization,,,,P1,0,1,1,1,62
353,CM-11c,11c,0,,,,The organization monitors policy compliance at [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,0,1,1,1,62
354,CM-1a.1,1a.1,0,,,,"The organization develops, documents, and disseminates to [Assignment: organization-defined personnel or roles] a configuration management policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Assignment: organization-defined personnel or roles,Organization,,,,P1,1,1,1,1,52
355,CM-1a.2,1a.2,0,,,,"The organization develops, documents, and disseminates to [Assignment: organization-defined personnel or roles] procedures to facilitate the implementation of the configuration management policy and associated configuration management controls.",Assignment: organization-defined personnel or roles,Organization,,,,P1,1,1,1,1,52
356,CM-1b.1,1b.1,0,,,,The organization reviews and updates the current configuration management policy [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,52
357,CM-1b.2,1b.2,0,,,,The organization reviews and updates the current configuration management procedures [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,52
358,CM-2,2,0,,,Documented and Maintained Baseline,"The organization develops, documents, and maintains under configuration control, a current baseline configuration of the information system.",,Organization,,,,P1,1,1,1,1,53
359,CM-2 (1)(a),2 (1)(a),1,(1)(a),Reviews And Updates,Reviewed and Updated Baseline,The organization reviews and updates the baseline configuration of the information system [Assignment: organization-defined frequency];,Assignment: organization-defined frequency,Organization,,,,P1,1,0,1,1,53
360,CM-2 (1)(b),2 (1)(b),1,(1)(b),Reviews And Updates,Circumstance-Based Reviews,The organization reviews and updates the baseline configuration of the information system when required due to [Assignment organization-defined circumstances].,Assignment organization-defined circumstances,Organization,,,,P1,1,0,1,1,53
361,CM-2 (1)(c),2 (1)(c),1,(1)(c),Reviews And Updates,Baseline Reviewed During Installation and Upgrades,The organization reviews and updates the baseline configuration of the information system as an integral part of information system component installations and upgrades.,,Organization,,,,P1,1,0,1,1,53
362,CM-2 (2),2 (2),1,2,Automation Support For Accuracy / Currency,Automatically Maintained Baseline,"The organization employs automated mechanisms to maintain an up-to-date, complete, accurate, and readily available baseline configuration of the information system.",,Organization,,,,P1,1,0,0,1,53
363,CM-2 (3),2 (3),1,3,Retention Of Previous Configurations,Retention Of Previous Configurations,The organization retains [Assignment: organization-defined previous versions of baseline configurations of the information system] to support rollback.,Assignment: organization-defined previous versions of baseline configurations of the information system,Organization,,,,P1,1,0,1,1,53
364,CM-2 (6),2 (6),1,6,Development And Test Environments,Development And Test Environments,The organization maintains a baseline configuration for information system development and test environments that is managed separately from the operational baseline configuration.,,Organization,,,,P1,1,0,0,0,53
365,CM-2 (7)(a),2 (7)(a),1,(7)(a),"Configure Systems, Components, Or Devices For High-Risk Areas",Risk-Based Configurations,"The organization issues [Assignment: organization-defined information systems, system components, or devices] with [Assignment: organization-defined configurations] to individuals traveling to locations that the organization deems to be of significant risk.","Assignment: organization-defined information systems, system components, or devices",Organization,,,,P1,1,0,1,1,53
366,CM-2 (7)(b),2 (7)(b),1,(7)(b),"Configure Systems, Components, Or Devices For High-Risk Areas",Risk-Based Security Safeguards,The organization applies [Assignment: organization-defined security safeguards] to the devices when the individuals return.,Assignment: organization-defined security safeguards,Organization,,,,P1,1,0,1,1,53
368,CM-3 (1),3 (1),1,1,Automated Document / Notification / Prohibition Of Changes,Automated Document / Notification / Prohibition Of Changes,The organization employs automated mechanisms to ,,Organization,,,,P1,1,0,0,1,54
369,CM-3 (1)(a),3 (1)(a),1,(1)(a),Automated Document / Notification / Prohibition Of Changes,Automated Document / Notification / Prohibition Of Changes,The organization employs automated mechanisms to document proposed changes to the information system;,,Organization,,,,P1,1,0,0,1,54
370,CM-3 (1)(b),3 (1)(b),1,(1)(b),Automated Document / Notification / Prohibition Of Changes,Automated Document / Notification / Prohibition Of Changes,The organization employs automated mechanisms to notify [Assignment: organized-defined approval authorities] of proposed changes to the information system and request change approval;,Assignment: organized-defined approval authorities,Organization,,,,P1,1,0,0,1,54
371,CM-3 (1)(c),3 (1)(c),1,(1)(c),Automated Document / Notification / Prohibition Of Changes,Automated Document / Notification / Prohibition Of Changes,The organization employs automated mechanisms to highlight proposed changes to the information system that have not been approved or disapproved by [Assignment: organization-defined time period];,Assignment: organization-defined time period,Organization,,,,P1,1,0,0,1,54
372,CM-3 (1)(d),3 (1)(d),1,(1)(d),Automated Document / Notification / Prohibition Of Changes,Automated Document / Notification / Prohibition Of Changes,The organization employs automated mechanisms to prohibit changes to the information system until designated approvals are received;,,Organization,,,,P1,1,0,0,1,54
373,CM-3 (1)(e),3 (1)(e),1,(1)(e),Automated Document / Notification / Prohibition Of Changes,Automated Document / Notification / Prohibition Of Changes,The organization employs automated mechanisms to document all changes to the information system.,,Organization,,,,P1,1,0,0,1,54
374,CM-3 (1)(f),3 (1)(f),1,(1)(f),Automated Document / Notification / Prohibition Of Changes,Automated Document / Notification / Prohibition Of Changes,The organization employs automated mechanisms to notify [Assignment: organization-defined personnel] when approved changes to the information system are completed.,Assignment: organization-defined personnel,Organization,,,,P1,1,0,0,1,54
375,CM-3 (2),3 (2),1,2,Test / Validate / Document Changes,Test / Validate / Document Changes,"The organization tests, validates, and documents changes to the information system before implementing the changes on the operational system.",,Organization,,,,P1,1,0,1,1,54
376,CM-3 (3),3 (3),1,3,Automated Change Implementation,Automated Change Implementation,The organization employs automated mechanisms to implement changes to the current information system baseline and deploys the updated baseline across the installed base.,,Organization,,,,P1,0,0,0,0,54
377,CM-3 (4),3 (4),1,4,Security Representative,Security Representative,The organization requires an information security representative to be a member of the [Assignment: organization-defined configuration change control element].,Assignment: organization-defined configuration change control element,Organization,,,,P1,0,0,0,0,54
378,CM-3 (5),3 (5),1,5,Automated Security Response,Automated Security Response,The information system implements [Assignment: organization-defined security responses] automatically if baseline configurations are changed in an unauthorized manner.,Assignment: organization-defined security responses,Information System,,,,P1,0,0,0,0,54
379,CM-3 (6),3 (6),1,6,Cryptography Management,Cryptography Management,The organization ensures that cryptographic mechanisms used to provide [Assignment: organization-defined security safeguards] are under configuration management.,Assignment: organization-defined security safeguards,Organization,,,,P1,0,0,0,0,54
380,CM-3a,3a,0,,,Configuration Item Definition,The organization determines the types of changes to the information system that are configuration-controlled;,,Organization,,,,P1,1,0,1,1,54
381,CM-3b,3b,0,,,Change Control,The organization reviews proposed configuration-controlled changes to the information system and approves or disapproves such changes with explicit consideration for security impact analyses;,,Organization,,,,P1,1,0,1,1,54
382,CM-3c,3c,0,,,Change Documentation,The organization documents configuration change decisions associated with the information system;,,Organization,,,,P1,1,0,1,1,54
383,CM-3d,3d,0,,,Change Implementation,The organization implements approved configuration-controlled changes to the information system;,,Organization,,,,P1,1,0,1,1,54
384,CM-3e,3e,0,,,Change Documentation Retention,The organization retains records of configuration-controlled changes to the information system for [Assignment: organization-defined time period];,Assignment: organization-defined time period,Organization,,,,P1,1,0,1,1,54
385,CM-3f,3f,0,,,Change Audits,The organization audits and reviews activities associated with configuration-controlled changes to the information system.,,Organization,,,,P1,1,0,1,1,54
386,CM-3g,3g,0,,,Change Control Oversight,"The organization coordinates and provides oversight for configuration change control activities through [Assignment: organization-defined configuration change control element (e.g., committee, board)] that convenes [Selection (one or more): [Assignment: organization-defined frequency]; [Assignment: organization-defined configuration change conditions]].","Assignment: organization-defined configuration change control element (e.g., committee, board)",Organization,,,,P1,1,0,1,1,54
387,CM-4,4,0,,,Impact Analysis,The organization analyzes changes to the information system to determine potential security impacts prior to change implementation.,,Organization,,,,P2,1,1,1,1,55
388,CM-4 (1),4 (1),1,1,Separate Test Environments,Separate Test Environments,"The organization analyzes changes to the information system in a separate test environment before implementation in an operational environment, looking for security impacts due to flaws, weaknesses, incompatibility, or intentional malice.",,Organization,,,,P2,1,0,0,1,55
389,CM-4 (2),4 (2),1,2,Verification Of Security Functions,Verification Of Security Functions,"The organization, after the information system is changed, checks the security functions to verify that the functions are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security requirements for the system.",,Organization,,,,P2,1,0,0,0,55
390,CM-5,5,0,,,Change Access Control,"The organization defines, documents, approves, and enforces physical and logical access restrictions associated with changes to the information system.",,Organization,,,,P1,0,0,1,1,56
391,CM-5 (1),5 (1),1,1,Automated Access Enforcement / Auditing,Automated Access Enforcement / Auditing,The information system enforces access restrictions and supports auditing of the enforcement actions.,,Information System,,,,P1,0,0,0,1,56
392,CM-5 (2),5 (2),1,2,Review System Changes,Review System Changes,The organization reviews information system changes [Assignment: organization-defined frequency] and [Assignment: organization-defined circumstances] to determine whether unauthorized changes have occurred.,Assignment: organization-defined frequency,Organization,,,,P1,0,0,0,1,56
393,CM-5 (3),5 (3),1,3,Signed Components,Signed Components,The information system prevents the installation of [Assignment: organization-defined software and firmware components] without verification that the component has been digitally signed using a certificate that is recognized and approved by the organization.,Assignment: organization-defined software and firmware components,Information System,,,,P1,0,0,0,1,56
394,CM-5 (4),5 (4),1,4,Dual Authorization,Dual Authorization,The organization enforces dual authorization for implementing changes to [Assignment: organization-defined information system components and system-level information].,Assignment: organization-defined information system components and system-level information,Organization,,,,P1,0,0,0,0,56
395,CM-5 (5)(a),5 (5)(a),1,(5)(a),Limit Production / Operational Privileges,Limit Production / Operational Privileges,The organization limits privileges to change information system components and system-related information within a production or operational environment.,,Organization,,,,P1,0,0,0,0,56
396,CM-5 (5)(b),5 (5)(b),1,(5)(b),Limit Production / Operational Privileges,Limit Production / Operational Privileges,The organization reviews and reevaluates privileges [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,0,0,0,0,56
397,CM-5 (6),5 (6),1,6,Limit Library Privileges,Limit Library Privileges,The organization limits privileges to change software resident within software libraries.,,Organization,,,,P1,0,0,0,0,56
399,CM-6 (1),6 (1),1,1,Automated Central Management / Application / Verification,Automated Central Management / Application / Verification,"The organization employs automated mechanisms to centrally manage, apply, and verify configuration settings for [Assignment: organization-defined information system components].",Assignment: organization-defined information system components,Organization,,,,P1,0,0,0,1,57
400,CM-6 (2),6 (2),1,2,Respond To Unauthorized Changes,Respond To Unauthorized Changes,The organization employs [Assignment: organization-defined security safeguards] to respond to unauthorized changes to [Assignment: organization-defined configuration settings].,Assignment: organization-defined security safeguards,Organization,,,,P1,0,0,0,1,57
401,CM-6a,6a,0,,,Configuration Documentation,The organization establishes and documents configuration settings for information technology products employed within the information system using [Assignment: organization-defined security configuration checklists] that reflect the most restrictive mode consistent with operational requirements;,Assignment: organization-defined security configuration checklists,Organization,,,,P1,0,1,1,1,57
402,CM-6b,6b,0,,,Configuration Implementation,The organization implements the configuration settings;,,Organization,,,,P1,0,1,1,1,57
403,CM-6c,6c,0,,,Configuration Compliance,"The organization identifies, documents, and approves any deviations from established configuration settings for [Assignment: organization-defined information system components] based on [Assignment: organization-defined operational requirements].",Assignment: organization-defined information system components,Organization,,,,P1,0,1,1,1,57
404,CM-6d,6d,0,,,Configuration Monitoring,The organization monitors and controls changes to the configuration settings in accordance with organizational policies and procedures.,,Organization,,,,P1,0,1,1,1,57
406,CM-7 (1)(a),7 (1)(a),1,(1)(a),Periodic Review,"Identification Of Non-Essential Functions, Ports, Protocols, Services","The organization reviews the information system [Assignment: organization-defined frequency] to identify unnecessary and/or nonsecure functions, ports, protocols, and services.",Assignment: organization-defined frequency,Organization,,,,P1,0,0,1,1,58
407,CM-7 (1)(b),7 (1)(b),1,(1)(b),Periodic Review,"Disabled Functions, Ports, Protocols, Services","The organization disables [Assignment: organization-defined functions, ports, protocols, and services within the information system deemed to be unnecessary and/or nonsecure].","Assignment: organization-defined functions, ports, protocols, and services within the information system deemed to be unnecessary and/or nonsecure",Organization,,,,P1,0,0,1,1,58
408,CM-7 (2),7 (2),1,2,Prevent Program Execution,Prevent Program Execution,The information system prevents program execution in accordance with [Selection (one or more): [Assignment: organization-defined policies regarding software program usage and restrictions]; rules authorizing the terms and conditions of software program usage].,Selection (one or more): [Assignment: organization-defined policies regarding software program usage and restrictions,Information System,,,,P1,0,0,1,1,58
409,CM-7 (3),7 (3),1,3,Registration Compliance,"Function, Ports, Protocols, Services Compliance","The organization ensures compliance with [Assignment: organization-defined registration requirements for functions, ports, protocols, and services].","Assignment: organization-defined registration requirements for functions, ports, protocols, and services",Organization,,,,P1,0,0,0,0,58
410,CM-7 (4)(a),7 (4)(a),1,(4)(a),Unauthorized Software / Deny,Unauthorized Software / Deny,The organization identifies [Assignment: organization-defined software programs not authorized to execute on the information system];,Assignment: organization-defined software programs not authorized to execute on the information system,Organization,,,,P1,0,0,1,1,58
411,CM-7 (4)(b),7 (4)(b),1,(4)(b),Unauthorized Software / Deny,Unauthorized Software / Deny,"The organization employs an allow-all, deny-by-exception policy to prohibit the execution of unauthorized software programs on the information system.",,Organization,,,,P1,0,0,1,1,58
412,CM-7 (4)(c),7 (4)(c),1,(4)(c),Unauthorized Software / Deny,Unauthorized Software / Deny,The organization reviews and updates the list of unauthorized software programs [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,0,0,1,1,58
413,CM-7 (5)(a),7 (5)(a),1,(5)(a),Authorized Software / Allow,Authorized Software Identification,The organization identifies [Assignment: organization-defined software programs authorized to execute on the information system];,Assignment: organization-defined software programs authorized to execute on the information system,Organization,,,,P1,0,0,0,1,58
414,CM-7 (5)(b),7 (5)(b),1,(5)(b),Authorized Software / Allow,Allow Authorized Software Execution,"The organization employs a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the information system.",,Organization,,,,P1,0,0,0,1,58
415,CM-7 (5)(c),7 (5)(c),1,(5)(c),Authorized Software / Allow,Review and Update Authorized Software,The organization reviews and updates the list of authorized software programs [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,0,0,0,1,58
416,CM-7a,7a,0,,,Provide Only Essential Capabilities,The organization configures the information system to provide only essential capabilities.,,Organization,,,,P1,0,1,1,1,58
417,CM-7b,7b,0,,,"Restricted Functions, Ports, Protocols, Services","The organization prohibits or restricts the use of the following functions, ports, protocols, and/or services: [Assignment: organization-defined prohibited or restricted functions, ports, protocols, and/or services].","Assignment: organization-defined prohibited or restricted functions, ports, protocols, and/or services",Organization,,,,P1,0,1,1,1,58
419,CM-8 (1),8 (1),1,1,Updates During Installations / Removals,Updates During Installations / Removals,"The organization updates the inventory of information system components as an integral part of component installations, removals, and information system updates.",,Organization,,,,P1,1,0,1,1,59
420,CM-8 (2),8 (2),1,2,Automated Maintenance,Automatically Maintained Inventory,"The organization employs automated mechanisms to help maintain an up-to-date, complete, accurate, and readily available inventory of information system components.",,Organization,,,,P1,1,0,0,1,59
421,CM-8 (3)(a),8 (3)(a),1,(3)(a),Automated Unauthorized Component Detection,Automatic Detection of Unauthorized Comonents,"The organization employs automated mechanisms [Assignment: organization-defined frequency] to detect the presence of unauthorized hardware, software, and firmware components within the information system.",Assignment: organization-defined frequency,Organization,,,,P1,1,0,1,1,59
422,CM-8 (3)(b),8 (3)(b),1,(3)(b),Automated Unauthorized Component Detection,Action on Unauthorized Components,The organization takes the following actions when unauthorized components are detected: [Selection (one or more): disables network access by such components; isolates the components; notifies [Assignment: organization-defined personnel or roles]].,Selection (one or more): disables network access by such components; isolates the components; notifies [Assignment: organization-defined personnel or roles,Organization,,,,P1,1,0,1,1,59
423,CM-8 (4),8 (4),1,4,Accountability Information,Accountability Information,"The organization includes in the information system component inventory information, a means for identifying by [Selection (one or more): name; position; role], individuals responsible/accountable for administering those components.",Selection (one or more): name; position; role,Organization,,,,P1,1,0,0,1,59
424,CM-8 (5),8 (5),1,5,No Duplicate Accounting Of Components,No Duplicate Accounting Of Components,The organization verifies that all components within the authorization boundary of the information system are not duplicated in other information system component inventories.,,Organization,,,,P1,1,0,1,1,59
425,CM-8 (6),8 (6),1,6,Assessed Configurations / Approved Deviations,Assessed Configurations / Approved Deviations,The organization includes assessed component configurations and any approved deviations to current deployed configurations in the information system component inventory.,,Organization,,,,P1,1,0,0,0,59
426,CM-8 (7),8 (7),1,7,Centralized Repository,Centralized Repository,The organization provides a centralized repository for the inventory of information system components.,,Organization,,,,P1,1,0,0,0,59
427,CM-8 (8),8 (8),1,8,Automated Location Tracking,Automated Location Tracking,The organization employs automated mechanisms to support tracking of information system components by geographic location.,,Organization,,,,P1,1,0,0,0,59
428,CM-8 (9)(a),8 (9)(a),1,(9)(a),Assignment Of Components To Systems,Assigned To Information System,The organization assigns [Assignment: organization-defined acquired information system components] to an information system.,Assignment: organization-defined acquired information system components,Organization,,,,P1,1,0,0,0,59
429,CM-8 (9)(b),8 (9)(b),1,(9)(b),Assignment Of Components To Systems,Acknowledgement Of Assignment,The organization receives an acknowledgement from the information system owner of this assignment.,,Organization,,,,P1,1,0,0,0,59
430,CM-8a.1,8a.1,0,,,Documented Inventory,The organization develops and documents an inventory of information system components that accurately reflects the current information system;,,Organization,,,,P1,1,1,1,1,59
431,CM-8a.2,8a.2,0,,,Authorization Boundary-Based Documented Components,The organization develops and documents an inventory of information system components that includes all components within the authorization boundary of the information system;,,Organization,,,,P1,1,1,1,1,59
432,CM-8a.3,8a.3,0,,,Tracking-Based and Reporting-Based Granularity,The organization develops and documents an inventory of information system components that is at the level of granularity deemed necessary for tracking and reporting.,,Organization,,,,P1,1,1,1,1,59
433,CM-8a.4,8a.4,0,,,Documented Accountability,The organization develops and documents an inventory of information system components that includes [Assignment: organization-defined information deemed necessary to achieve effective information system component accountability].,Assignment: organization-defined information deemed necessary to achieve effective information system component accountability,Organization,,,,P1,1,1,1,1,59
434,CM-8b,8b,0,,,Reviewed and Updated Inventory,The organization reviews and updates the information system component inventory [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,59
436,CM-9 (1),9 (1),1,1,Assignment Of Responsibility,Assignment Of Responsibility,The organization assigns responsibility for developing the configuration management process to organizational personnel that are not directly involved in information system development.,,Organization,,,,P1,0,0,0,0,60
437,CM-9a,9a,0,,,"Roles, Responsibilities, Policies, Procedures","The organization develops, documents, and implements a configuration management plan for the information system that addresses roles, responsibilities, and configuration management processes and procedures;",,Organization,,,,P1,0,0,1,1,60
438,CM-9b,9b,0,,,Configuration Item Management,"The organization develops, documents, and implements a configuration management plan for the information system that establishes a process for identifying configuration items throughout the system development life cycle and for managing the configuration of the configuration items;",,Organization,,,,P1,0,0,1,1,60
439,CM-9c,9c,0,,,Configuration Item Configuration Management,"The organization develops, documents, and implements a configuration management plan for the information system that defines the configuration items for the information system and places the configuration items under configuration management.",,Organization,,,,P1,0,0,1,1,60
440,CM-9d,9d,0,,,Configuration Plan Confidentiality and Integrity,"The organization develops, documents, and implements a configuration management plan for the information system that protects the configuration management plan from unauthorized disclosure and modification.",,Organization,,,,P1,0,0,1,1,60
442,CP-10,10,0,,,,"The organization provides for the recovery and reconstitution of the information system to a known state after a disruption, compromise, or failure.",,Organization,,,,P1,0,1,1,1,71
443,CP-10 (2),10 (2),1,2,Transaction Recovery,Transaction Recovery,The information system implements transaction recovery for systems that are transaction-based.,,Information System,,,,P1,0,0,1,1,71
444,CP-10 (4),10 (4),1,4,Restore Within Time Period,Restore Within Time Period,"The organization provides the capability to restore information system components within [Assignment: organization-defined restoration time-periods] from configuration-controlled and integrity-protected information representing a known, operational state for the components.",Assignment: organization-defined restoration time-periods,Organization,,,,P1,0,0,0,1,71
445,CP-10 (6),10 (6),1,6,Component Protection,Component Protection,"The organization protects backup and restoration hardware, firmware, and software.",,Organization,,,,P1,0,0,0,0,71
446,CP-11,11,0,,,,The information system provides the capability to employ [Assignment: organization-defined alternative communications protocols] in support of maintaining continuity of operations.,Assignment: organization-defined alternative communications protocols,Information System,,,,P0,0,0,0,0,72
447,CP-12,12,0,,,,"The information system, when [Assignment: organization-defined conditions] are detected, enters a safe mode of operation with [Assignment: organization-defined restrictions of safe mode of operation].",Assignment: organization-defined conditions,Information System,,,,P0,1,0,0,0,73
448,CP-13,13,0,,,,The organization employs [Assignment: organization-defined alternative or supplemental security mechanisms] for satisfying [Assignment: organization-defined security functions] when the primary means of implementing the security function is unavailable or compromised.,Assignment: organization-defined alternative or supplemental security mechanisms,Organization,,,,P0,0,0,0,0,74
449,CP-1a.1,1a.1,0,,,Contingency Planning Policy,"The organization develops, documents, and disseminates to [Assignment: organization-defined personnel or roles] a contingency planning policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Assignment: organization-defined personnel or roles,Organization,,,,P1,1,1,1,1,63
450,CP-1a.2,1a.2,0,,,Contingency Planning Procedures,"The organization develops, documents, and disseminates to [Assignment: organization-defined personnel or roles] procedures to facilitate the implementation of the contingency planning policy and associated contingency planning controls.",Assignment: organization-defined personnel or roles,Organization,,,,P1,1,1,1,1,63
451,CP-1b.1,1b.1,0,,,Contingency Planning Policy Updating,The organization reviews and updates the current contingency planning policy [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,63
452,CP-1b.2,1b.2,0,,,Contingency Planning Procedures Updating,The organization reviews and updates the current contingency planning procedures [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,63
454,CP-2 (1),2 (1),1,1,Coordinate With Related Plans,Coordinate With Related Plans,The organization coordinates contingency plan development with organizational elements responsible for related plans.,,Organization,,,,P1,0,0,1,1,64
455,CP-2 (2),2 (2),1,2,Capacity Planning,Capacity Planning,"The organization conducts capacity planning so that necessary capacity for information processing, telecommunications, and environmental support exists during contingency operations.",,Organization,,,,P1,0,0,0,1,64
456,CP-2 (3),2 (3),1,3,Resume Essential Missions / Business Functions,Resume Essential Missions / Business Functions,The organization plans for the resumption of essential missions and business functions within [Assignment: organization-defined time period] of contingency plan activation.,Assignment: organization-defined time period,Organization,,,,P1,0,0,1,1,64
457,CP-2 (4),2 (4),1,4,Resume All Missions / Business Functions,Resume All Missions / Business Functions,The organization plans for the resumption of all missions and business functions within [Assignment: organization-defined time period] of contingency plan activation.,Assignment: organization-defined time period,Organization,,,,P1,0,0,0,1,64
458,CP-2 (5),2 (5),1,5,Continue  Essential Missions / Business Functions,Continue  Essential Missions / Business Functions,The organization plans for the continuance of essential missions and business functions with little or no loss of operational continuity and sustains that continuity until full information system restoration at primary processing and/or storage sites.,,Organization,,,,P1,0,0,0,1,64
459,CP-2 (6),2 (6),1,6,Alternate Processing / Storage Site,Alternate Processing / Storage Site,The organization plans for the transfer of essential missions and business functions to alternate processing and/or storage sites with little or no loss of operational continuity and sustains that continuity through information system restoration to primary processing and/or storage sites.,,Organization,,,,P1,0,0,0,0,64
460,CP-2 (7),2 (7),1,7,Coordinate  With External Service Providers,Coordinate  With External Service Providers,The organization coordinates its contingency plan with the contingency plans of external service providers to ensure that contingency requirements can be satisfied.,,Organization,,,,P1,0,0,0,0,64
461,CP-2 (8),2 (8),1,8,Identify Critical Assets,Identify Critical Assets,The organization identifies critical information system assets supporting essential missions and business functions.,,Organization,,,,P1,0,0,1,1,64
462,CP-2a.1,2a.1,0,,,Defined Functions and Contingency Requirements,The organization develops a contingency plan for the information system that dentifies essential missions and business functions and associated contingency requirements;,,Organization,,,,P1,0,1,1,1,64
463,CP-2a.2,2a.2,0,,,"Recovery Objectives, Priorities and Metrics","The organization develops a contingency plan for the information system that provides recovery objectives, restoration priorities, and metrics;",,Organization,,,,P1,0,1,1,1,64
464,CP-2a.3,2a.3,0,,,Defined Roles and Responsibilities,"The organization develops a contingency plan for the information system that addresses contingency roles, responsibilities, assigned individuals with contact information;",,Organization,,,,P1,0,1,1,1,64
465,CP-2a.4,2a.4,0,,,Defined Essential Functions,"The organization develops a contingency plan for the information system that addresses maintaining essential missions and business functions despite an information system disruption, compromise, or failure;",,Organization,,,,P1,0,1,1,1,64
466,CP-2a.5,2a.5,0,,,Full Restoration Plan,"The organization develops a contingency plan for the information system that addresses eventual, full information system restoration without deterioration of the security safeguards originally planned and implemented.",,Organization,,,,P1,0,1,1,1,64
467,CP-2a.6,2a.6,0,,,Approved Plan,The organization develops a contingency plan for the information system that is reviewed and approved by [Assignment: organization-defined personnel or roles];,Assignment: organization-defined personnel or roles,Organization,,,,P1,0,1,1,1,64
468,CP-2b,2b,0,,,Plan Distribution,The organization distributes copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];,Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements,Organization,,,,P1,0,1,1,1,64
469,CP-2c,2c,0,,,Incident Handling Coordination,The organization coordinates contingency planning activities with incident handling activities;,,Organization,,,,P1,0,1,1,1,64
470,CP-2d,2d,0,,,Plan Review,The organization reviews the contingency plan for the information system [Assignment: organization-defined frequency];,Assignment: organization-defined frequency,Organization,,,,P1,0,1,1,1,64
471,CP-2e,2e,0,,,Plan Updated After Execution,"The organization updates the contingency plan to address changes to the organization, information system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;",,Organization,,,,P1,0,1,1,1,64
472,CP-2f,2f,0,,,Change Communication,The organization communicates contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements].,Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements,Organization,,,,P1,0,1,1,1,64
473,CP-2g,2g,0,,,Plan Confidentiality and Integrity,The organization protects the contingency plan from unauthorized disclosure and modification.,,Organization,,,,P1,0,1,1,1,64
474,CP-3,3,0,,,,The organization provides contingency training to information system users consistent with assigned roles and responsibilities ,,Organization,,,,P2,1,1,1,1,65
475,CP-3 (1),3 (1),1,1,Simulated Events,Simulated Events,The organization incorporates simulated events into contingency training to facilitate effective response by personnel in crisis situations.,,Organization,,,,P2,1,0,0,1,65
476,CP-3 (2),3 (2),1,2,Automated Training Environments,Automated Training Environments,The organization employs automated mechanisms to provide a more thorough and realistic contingency training environment.,,Organization,,,,P2,1,0,0,0,65
477,CP-3a,3a,0,,,,The organization provides contingency training to information system users consistent with assigned roles and responsibilities ithin [Assignment: organization-defined time period] of assuming a contingency role or responsibility;,Assignment: organization-defined time period,Organization,,,,P2,1,1,1,1,65
478,CP-3b,3b,0,,,,The organization provides contingency training to information system users consistent with assigned roles and responsibilities hen required by information system changes.,,Organization,,,,P2,1,1,1,1,65
479,CP-3c,3c,0,,,,The organization provides contingency training to information system users consistent with assigned roles and responsibilities [Assignment: organization-defined frequency] thereafter.,Assignment: organization-defined frequency,Organization,,,,P2,1,1,1,1,65
481,CP-4 (1),4 (1),1,1,Coordinate With Related Plans,Coordinate With Related Plans,The organization coordinates contingency plan testing with organizational elements responsible for related plans.,,Organization,,,,P2,1,0,1,1,66
482,CP-4 (2),4 (2),1,2,Alternate Processing Site,Alternate Processing Site,The organization tests the contingency plan at the alternate processing site ,,Organization,,,,P2,1,0,0,1,66
