SP80053ControlDetailIndex,SP80053ID,SP80053ControlFamilyControlDetailID,SP80053ControlDetailID,SP80053ControlDetailEnhancement,SP80053ControlDetailEnhancementID,SP80053ControlDetailEnhancementTitle,SP80053ControlDetailDescription,SP80053ControlDetailAssignment,SP80053ControlDetailTier,SP80053ControlDetailDesignation,SP80053ControlDetailSupplementalGuidance,SP80053ControlDetailReference,SP80053ControlDetailPriority,SP80053ControlDetailAssurance,SP80053ControlDetailBaseline,SP80053ControlDetailBaselineMod,SP80053ControlDetailBaselineHigh,SP80053ControlIndex
64,SP 800-53 AC-2 (12)(b),AC-2 (12)(b),2 (12)(b),1,(12)(b),ACCOUNT MONITORING / ATYPICAL USAGE,The organization reports atypical usage of information system accounts to [Assignment: organization-defined personnel or roles].,Assignment: organization-defined personnel or roles,Organization,,,,P1,0,0,0,1,2
1443,SP 800-53 SI-7 (13),SI-7 (13),7 (13),1,(13),CODE EXECUTION IN PROTECTED ENVIRONMENTS,The organization allows execution of binary or machine-executable code obtained from sources with limited or no warranty and without the provision of source code only in confined physical or virtual machine environments and with the explicit approval of [Assignment: organization-defined personnel or roles].,Assignment: organization-defined personnel or roles,Organization,,,,P1,1,0,0,0,231
1055,SP 800-53 SA-12 (13),SA-12 (13),12 (13),1,(13),CRITICAL INFORMATION SYSTEM COMPONENTS,The organization employs [Assignment: organization-defined security safeguards] to ensure an adequate supply of [Assignment: organization-defined critical information system components].,Assignment: organization-defined security safeguards,Organization,,,,P1,1,0,0,0,173
139,SP 800-53 AC-4 (13),AC-4 (13),4 (13),1,(13),DECOMPOSITION INTO POLICY-RELEVANT SUBCOMPONENTS,"The information system, when transferring information between different security domains, decomposes information into [Assignment: organization-defined policy-relevant subcomponents] for submission to policy enforcement mechanisms.",Assignment: organization-defined policy-relevant subcomponents,Information System,,,,P1,0,0,0,0,4
65,SP 800-53 AC-2 (13),AC-2 (13),2 (13),1,(13),DISABLE ACCOUNTS FOR HIGH-RISK INDIVIDUALS,The organization disables accounts of users posing a significant risk within [Assignment: organization-defined time period] of discovery of the risk.,Assignment: organization-defined time period,Organization,,,,P1,0,0,0,1,2
574,SP 800-53 IA-5 (13),IA-5 (13),5 (13),1,(13),EXPIRATION OF CACHED AUTHENTICATORS,The information system prohibits the use of cached authenticators after [Assignment: organization-defined time period].,Assignment: organization-defined time period,Information System,,,,P1,0,0,0,0,79
1304,SP 800-53 SC-7 (13),SC-7 (13),7 (13),1,(13),ISOLATION OF SECURITY TOOLS / MECHANISMS / SUPPORT COMPONENTS,"The organization isolates [Assignment: organization-defined information security tools, mechanisms, and support components] from other internal information system components by implementing physically separate subnetworks with managed interfaces to other components of the system.","Assignment: organization-defined information security tools, mechanisms, and support components",Organization,,,,P1,0,0,0,0,190
537,SP 800-53 IA-2 (13),IA-2 (13),2 (13),1,(13),OUT-OF-BAND AUTHENTICATION,The information system implements [Assignment: organization-defined out-of-band authentication] under [Assignment: organization-defined conditions].,Assignment: organization-defined out-of-band authentication,Information System,,,,P1,0,0,0,0,76
1396,SP 800-53 SI-4 (13)(a),SI-4 (13)(a),4 (13)(a),1,(13)(a),ANALYZE TRAFFIC / EVENT PATTERNS,The organization analyzes communications traffic/event patterns for the information system;,,Organization,,,,P1,1,0,0,0,228
1397,SP 800-53 SI-4 (13)(b),SI-4 (13)(b),4 (13)(b),1,(13)(b),ANALYZE TRAFFIC / EVENT PATTERNS,The organization develops profiles representing common traffic patterns and/or events.,,Organization,,,,P1,1,0,0,0,228
1398,SP 800-53 SI-4 (13)(c),SI-4 (13)(c),4 (13)(c),1,(13)(c),ANALYZE TRAFFIC / EVENT PATTERNS,The organization uses the traffic/event profiles in tuning system-monitoring devices to reduce the number of false positives and the number of false negatives.,,Organization,,,,P1,1,0,0,0,228
1056,SP 800-53 SA-12 (14),SA-12 (14),12 (14),1,(14),IDENTITY AND TRACEABILITY,"The organization establishes and retains unique identification of [Assignment: organization-defined supply chain elements, processes, and actors] for the information system, system component, or information system service.","Assignment: organization-defined supply chain elements, processes, and actors",Organization,,,,P1,1,0,0,0,173
575,SP 800-53 IA-5 (14),IA-5 (14),5 (14),1,(14),MANAGING CONTENT OF PKI TRUST STORES,"The organization, for PKI-based authentication, employs a deliberate organization-wide methodology for managing the content of PKI trust stores installed across all platforms including networks, operating systems, browsers, and applications.",,Organization,,,,P1,0,0,0,0,79
1305,SP 800-53 SC-7 (14),SC-7 (14),7 (14),1,(14),PROTECTS AGAINST UNAUTHORIZED PHYSICAL CONNECTIONS,The organization protects against unauthorized physical connections at [Assignment: organization-defined managed interfaces].,Assignment: organization-defined managed interfaces,Organization,,,,P1,0,0,0,0,190
140,SP 800-53 AC-4 (14),AC-4 (14),4 (14),1,(14),SECURITY POLICY FILTER CONSTRAINTS,"The information system, when transferring information between different security domains, implements [Assignment: organization-defined security policy filters] requiring fully enumerated formats that restrict data structure and content.",Assignment: organization-defined security policy filters,Information System,,,,P1,0,0,0,0,4
1399,SP 800-53 SI-4 (14),SI-4 (14),4 (14),1,(14),WIRELESS INTRUSION DETECTION,The organization employs a wireless intrusion detection system to identify rogue wireless devices and to detect attack attempts and potential compromises/breaches to the information system.,,Organization,,,,P1,1,0,0,0,228
1444,SP 800-53 SI-7 (14)(a),SI-7 (14)(a),7 (14)(a),1,(14)(a),BINARY OR MACHINE EXECUTABLE CODE,The organization prohibits the use of binary or machine-executable code from sources with limited or no warranty and without the provision of source code.,,Organization,,,,P1,1,0,0,1,231
1445,SP 800-53 SI-7 (14)(b),SI-7 (14)(b),7 (14)(b),1,(14)(b),BINARY OR MACHINE EXECUTABLE CODE,The organization provides exceptions to the source code requirement only for compelling mission/operational requirements and with the approval of the authorizing official.,,Organization,,,,P1,1,0,0,1,231
1446,SP 800-53 SI-7 (15),SI-7 (15),7 (15),1,(15),CODE AUTHENTICATION,The information system implements cryptographic mechanisms to authenticate [Assignment: organization-defined software or firmware components] prior to installation.,Assignment: organization-defined software or firmware components,Information System,,,,P1,1,0,0,0,231
141,SP 800-53 AC-4 (15),AC-4 (15),4 (15),1,(15),DETECTION OF UNSANCTIONED INFORMATION,"The information system, when transferring information between different security domains, examines the information for the presence of [Assignment: organized-defined unsanctioned information] and prohibits the transfer of such information in accordance with the [Assignment: organization-defined security policy].",Assignment: organized-defined unsanctioned information,Information System,,,,P1,0,0,0,0,4
576,SP 800-53 IA-5 (15),IA-5 (15),5 (15),1,(15),FICAM-APPROVED PRODUCTS AND SERVICES,The organization uses only FICAM-approved path discovery and validation products and services.,,Organization,,,,P1,0,0,0,0,79
1057,SP 800-53 SA-12 (15),SA-12 (15),12 (15),1,(15),PROCESSES TO ADDRESS WEAKNESSES OR DEFICIENCIES,The organization establishes a process to address weaknesses or deficiencies in supply chain elements identified during independent or organizational assessments of such elements.,,Organization,,,,P1,1,0,0,0,173
1306,SP 800-53 SC-7 (15),SC-7 (15),7 (15),1,(15),ROUTE PRIVILEGED NETWORK ACCESSES,"The information system routes all networked, privileged accesses through a dedicated, managed interface for purposes of access control and auditing.",,Information System,,,,P1,0,0,0,0,190
1400,SP 800-53 SI-4 (15),SI-4 (15),4 (15),1,(15),WIRELESS TO WIRELINE COMMUNICATIONS,The organization employs an intrusion detection system to monitor wireless communications traffic as the traffic passes from wireless to wireline networks.,,Organization,,,,P1,1,0,0,0,228
1401,SP 800-53 SI-4 (16),SI-4 (16),4 (16),1,(16),CORRELATE MONITORING INFORMATION,The organization correlates information from monitoring tools employed throughout the information system.,,Organization,,,,P1,1,0,0,0,228
1307,SP 800-53 SC-7 (16),SC-7 (16),7 (16),1,(16),PREVENT DISCOVERY OF COMPONENTS / DEVICES,The information system prevents discovery of specific system components composing a managed interface.,,Information System,,,,P1,0,0,0,0,190
1447,SP 800-53 SI-7 (16),SI-7 (16),7 (16),1,(16),TIME LIMIT ON PROCESS EXECUTION W/O SUPERVISION,The organization does not allow processes to execute without supervision for more than [Assignment: organization-defined time period].,Assignment: organization-defined time period,Organization,,,,P1,1,0,0,0,231
1308,SP 800-53 SC-7 (17),SC-7 (17),7 (17),1,(17),AUTOMATED ENFORCEMENT OF PROTOCOL FORMATS,The information system enforces adherence to protocol formats.,,Information System,,,,P1,0,0,0,0,190
142,SP 800-53 AC-4 (17),AC-4 (17),4 (17),1,(17),DOMAIN AUTHENTICATION,"The information system uniquely identifies and authenticates source and destination points by [Selection (one or more): organization, system, application, individual] for information transfer.","Selection (one or more): organization, system, application, individual",Information System,,,,P1,0,0,0,0,4
1402,SP 800-53 SI-4 (17),SI-4 (17),4 (17),1,(17),INTEGRATED SITUATIONAL AWARENESS,"The organization correlates information from monitoring physical, cyber, and supply chain activities to achieve integrated, organization-wide situational awareness.",,Organization,,,,P1,1,0,0,0,228
1403,SP 800-53 SI-4 (18),SI-4 (18),4 (18),1,(18),ANALYZE TRAFFIC / COVERT EXFILTRATION,"The organization analyzes outbound communications traffic at the external boundary of the information system (i.e., system perimeter) and at [Assignment: organization-defined interior points within the system (e.g., subsystems, subnetworks)] to detect covert exfiltration of information.","Assignment: organization-defined interior points within the system (e.g., subsystems, subnetworks)",Organization,,,,P1,1,0,0,0,228
1309,SP 800-53 SC-7 (18),SC-7 (18),7 (18),1,(18),FAIL SECURE,The information system fails securely in the event of an operational failure of a boundary protection device.,,Information System,,,,P1,1,0,0,1,190
143,SP 800-53 AC-4 (18),AC-4 (18),4 (18),1,(18),SECURITY ATTRIBUTE BINDING,The information system binds security attributes to information using [Assignment: organization-defined binding techniques] to facilitate information flow policy enforcement.,Assignment: organization-defined binding techniques,Information System,,,,P1,0,0,0,0,4
1310,SP 800-53 SC-7 (19),SC-7 (19),7 (19),1,(19),BLOCKS COMMUNICATION FROM NON-ORGANIZATIONALLY CONFIGURED HOSTS,The information system blocks both inbound and outbound communications traffic between [Assignment: organization-defined communication clients] that are independently configured by end users and external service providers.,Assignment: organization-defined communication clients,Information System,,,,P1,0,0,0,0,190
1404,SP 800-53 SI-4 (19),SI-4 (19),4 (19),1,(19),INDIVIDUALS POSING GREATER RISK,The organization implements [Assignment: organization-defined additional monitoring] of individuals who have been identified by [Assignment: organization-defined sources] as posing an increased level of risk.,Assignment: organization-defined additional monitoring,Organization,,,,P1,1,0,0,0,228
144,SP 800-53 AC-4 (19),AC-4 (19),4 (19),1,(19),VALIDATION OF METADATA,"The information system, when transferring information between different security domains, applies the same security policy filtering to metadata as it applies to data payloads.",,Information System,,,,P1,0,0,0,0,4
602,SP 800-53 IA-8 (2),IA-8 (2),8 (2),1,(2),ACCEPTANCE OF THIRD-PARTY CREDENTIALS,The information system accepts only FICAM-approved third-party credentials.,,Information System,,,,P1,0,1,1,1,82
1244,SP 800-53 SC-3 (2),SC-3 (2),3 (2),1,(2),ACCESS / FLOW CONTROL FUNCTIONS,The information system isolates security functions enforcing access and information flow control from nonsecurity functions and from other security functions.,,Information System,,,,P1,1,0,0,0,186
498,SP 800-53 CP-7 (2),CP-7 (2),7 (2),1,(2),ACCESSIBILITY,The organization identifies potential accessibility problems to the alternate processing site in the event of an area-wide disruption or disaster and outlines explicit mitigation actions.,,Organization,,,,P1,0,0,1,1,68
1207,SP 800-53 SC-18 (2),SC-18 (2),18 (2),1,(2),ACQUISITION / DEVELOPMENT / USE,"The organization ensures that the acquisition, development, and use of mobile code to be deployed in the information system meets [Assignment: organization-defined mobile code requirements].",Assignment: organization-defined mobile code requirements,Organization,,,,P2,0,0,0,0,199
482,SP 800-53 CP-4 (2),CP-4 (2),4 (2),1,(2),ALTERNATE PROCESSING SITE,The organization tests the contingency plan at the alternate processing site ,,Organization,,,,P2,1,0,0,1,66
1025,SP 800-53 SA-10 (2),SA-10 (2),10 (2),1,(2),ALTERNATIVE CONFIGURATION MANAGEMENT PROCESSES,The organization provides an alternate configuration management process using organizational personnel in the absence of a dedicated developer configuration management team.,,Organization,,,,P1,1,0,0,0,171
20,SP 800-53 AC-16 (2),AC-16 (2),16 (2),1,(2),ATTRIBUTE VALUE CHANGES BY AUTHORIZED INDIVIDUALS,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to define or change the value of associated security attributes.,,Information System,,,,P0,0,0,0,0,14
288,SP 800-53 AU-9 (2),AU-9 (2),9 (2),1,(2),AUDIT BACKUP ON SEPARATE PHYSICAL SYSTEMS / COMPONENTS,The information system backs up audit records [Assignment: organization-defined frequency] onto a physically different system or system component than the system or component being audited.,Assignment: organization-defined frequency,Information System,,,,P1,0,0,0,1,36
1286,SP 800-53 SC-42 (2),SC-42 (2),42 (2),1,(2),AUTHORIZED USE,"The organization employs the following measures: [Assignment: organization-defined measures], so that data or information collected by [Assignment: organization-defined sensors] is only used for authorized purposes.",Assignment: organization-defined measures,Organization,,,,P0,0,0,0,0,222
1366,SP 800-53 SI-2 (2),SI-2 (2),2 (2),1,(2),AUTOMATED FLAW REMEDIATION STATUS,The organization employs automated mechanisms [Assignment: organization-defined frequency] to determine the state of information system components with regard to flaw remediation.,Assignment: organization-defined frequency,Organization,,,,P1,0,0,1,1,226
843,SP 800-53 PE-6 (2),PE-6 (2),6 (2),1,(2),AUTOMATED INTRUSION RECOGNITION / RESPONSES,The organization employs automated mechanisms to recognize [Assignment: organization-defined classes/types of intrusions] and initiate [Assignment: organization-defined response actions].,Assignment: organization-defined classes/types of intrusions,Organization,,,,P1,1,0,0,0,115
420,SP 800-53 CM-8 (2),CM-8 (2),8 (2),1,(2),AUTOMATED MAINTENANCE,"The organization employs automated mechanisms to help maintain an up-to-date, complete, accurate, and readily available inventory of information system components.",,Organization,,,,P1,1,0,0,1,59
959,SP 800-53 PS-4 (2),PS-4 (2),4 (2),1,(2),AUTOMATED NOTIFICATION,The organization employs automated mechanisms to notify [Assignment: organization-defined personnel or roles] upon termination of an individual.,Assignment: organization-defined personnel or roles,Organization,,,,P1,0,0,0,1,154
1448,SP 800-53 SI-7 (2),SI-7 (2),7 (2),1,(2),AUTOMATED NOTIFICATIONS OF INTEGRITY VIOLATIONS,The organization employs automated tools that provide notification to [Assignment: organization-defined personnel or roles] upon discovering discrepancies during integrity verification.,Assignment: organization-defined personnel or roles,Organization,,,,P1,1,0,0,1,231
741,SP 800-53 MP-4 (2),MP-4 (2),4 (2),1,(2),AUTOMATED RESTRICTED ACCESS,The organization employs automated mechanisms to restrict access to media storage areas and to audit access attempts and access granted.,,Organization,,,,P1,0,0,0,0,105
1405,SP 800-53 SI-4 (2),SI-4 (2),4 (2),1,(2),AUTOMATED TOOLS FOR REAL-TIME ANALYSIS,The organization employs automated tools to support near real-time analysis of events.,,Organization,,,,P1,1,0,1,1,228
476,SP 800-53 CP-3 (2),CP-3 (2),3 (2),1,(2),AUTOMATED TRAINING ENVIRONMENTS,The organization employs automated mechanisms to provide a more thorough and realistic contingency training environment.,,Organization,,,,P2,1,0,0,0,65
617,SP 800-53 IR-2 (2),IR-2 (2),2 (2),1,(2),AUTOMATED TRAINING ENVIRONMENTS,The organization employs automated mechanisms to provide a more thorough and realistic incident response training environment.,,Organization,,,,P2,1,0,0,1,87
277,SP 800-53 AU-7 (2),AU-7 (2),7 (2),1,(2),AUTOMATIC SORT AND SEARCH,The information system provides the capability to sort and search audit records for events of interest based on the content of [Assignment: organization-defined audit fields within audit records].,Assignment: organization-defined audit fields within audit records,Information System,,,,P2,0,0,0,0,34
1379,SP 800-53 SI-3 (2),SI-3 (2),3 (2),1,(2),AUTOMATIC UPDATES,The information system automatically updates malicious code protection mechanisms.,,Information System,,,,P1,0,0,1,1,227
1457,SP 800-53 SI-8 (2),SI-8 (2),8 (2),1,(2),AUTOMATIC UPDATES,The information system automatically updates spam protection mechanisms.,,Information System,,,,P2,0,0,1,1,232
855,SP 800-53 PE-9 (2),PE-9 (2),9 (2),1,(2),AUTOMATIC VOLTAGE CONTROLS,The organization employs automatic voltage controls for [Assignment: organization-defined critical information system components].,Assignment: organization-defined critical information system components,Organization,,,,P1,0,0,0,0,117
362,SP 800-53 CM-2 (2),CM-2 (2),2 (2),1,(2),AUTOMATION SUPPORT FOR ACCURACY / CURRENCY,"The organization employs automated mechanisms to maintain an up-to-date, complete, accurate, and readily available baseline configuration of the information system.",,Organization,,,,P1,1,0,0,1,53
1432,SP 800-53 SI-6 (2),SI-6 (2),6 (2),1,(2),AUTOMATION SUPPORT FOR DISTRIBUTED TESTING,The information system implements automated mechanisms to support the management of distributed security testing.,,Information System,,,,P1,0,0,0,0,230
455,SP 800-53 CP-2 (2),CP-2 (2),2 (2),1,(2),CAPACITY PLANNING,"The organization conducts capacity planning so that necessary capacity for information processing, telecommunications, and environmental support exists during contingency operations.",,Organization,,,,P1,0,0,0,1,64
235,SP 800-53 AU-14 (2),AU-14 (2),14 (2),1,(2),CAPTURE/RECORD AND LOG CONTENT,The information system provides the capability for authorized users to capture/record and log content related to a user session.,,Information System,,,,P0,1,0,0,0,41
253,SP 800-53 AU-3 (2),AU-3 (2),3 (2),1,(2),CENTRALIZED MANAGEMENT OF PLANNED AUDIT RECORD CONTENT,The information system provides centralized management and configuration of the content to be captured in audit records generated by [Assignment: organization-defined information system components].,Assignment: organization-defined information system components,Information System,,,,P1,0,0,0,1,30
310,SP 800-53 CA-3 (2),CA-3 (2),3 (2),1,(2),CLASSIFIED NATIONAL SECURITY SYSTEM CONNECTIONS,"The organization prohibits the direct connection of a classified, national security system to an external network without the use of [Assignment: organization-defined boundary protection device].",Assignment: organization-defined boundary protection device,Organization,,,,P1,0,0,0,0,46
1119,SP 800-53 SA-19 (2),SA-19 (2),19 (2),1,(2),CONFIGURATION CONTROL FOR COMPONENT SERVICE / REPAIR,The organization maintains configuration control over [Assignment: organization-defined information system components] awaiting service/repair and serviced/repaired components awaiting return to service.,Assignment: organization-defined information system components,Organization,,,,P0,1,0,0,0,180
623,SP 800-53 IR-3 (2),IR-3 (2),3 (2),1,(2),COORDINATION WITH RELATED PLANS,The organization coordinates incident response testing with organizational elements responsible for related plans.,,Organization,,,,P2,1,0,1,1,88
1224,SP 800-53 SC-20 (2),SC-20 (2),20 (2),1,(2),DATA ORIGIN / INTEGRITY,The information system provides data origin and integrity protection artifacts for internal name/address resolution queries.,,Information System,,,,P1,0,0,0,0,201
1149,SP 800-53 SA-4 (2),SA-4 (2),4 (2),1,(2),DESIGN / IMPLEMENTATION INFORMATION FOR SECURITY CONTROLS,"The organization requires the developer of the information system, system component, or information system service to provide design and implementation information for the security controls to be employed that includes: [Selection (one or more): security-relevant external system interfaces; high-level design; low-level design; source code or hardware schematics; [Assignment: organization-defined design/implementation information]] at [Assignment: organization-defined level of detail].",Selection (one or more): security-relevant external system interfaces; high-level design; low-level design; source code or hardware schematics; [Assignment: organization-defined design/implementation information,Organization,,,,P1,1,0,1,1,167
700,SP 800-53 MA-4 (2),MA-4 (2),4 (2),1,(2),DOCUMENT NONLOCAL MAINTENANCE,"The organization documents in the security plan for the information system, the policies and procedures for the establishment and use of nonlocal maintenance and diagnostic connections.",,Organization,,,,P2,0,0,1,1,99
116,SP 800-53 AC-3 (2),AC-3 (2),3 (2),1,(2),DUAL AUTHORIZATION,The information system enforces dual authorization for [Assignment: organization-defined privileged commands and/or other organization-defined actions].,Assignment: organization-defined privileged commands and/or other organization-defined actions,Information System,,,,P1,0,0,0,0,3
627,SP 800-53 IR-4 (2),IR-4 (2),4 (2),1,(2),DYNAMIC RECONFIGURATION,The organization includes dynamic reconfiguration of [Assignment: organization-defined information system components] as part of the incident response capability.,Assignment: organization-defined information system components,Organization,,,,P1,0,0,0,0,89
753,SP 800-53 MP-6 (2),MP-6 (2),6 (2),1,(2),EQUIPMENT TESTING,The organization tests sanitization equipment and procedures [Assignment: organization-defined frequency] to verify that the intended sanitization is being achieved.,Assignment: organization-defined frequency,Organization,,,,P1,0,0,0,1,107
764,SP 800-53 MP-8 (2),MP-8 (2),8 (2),1,(2),EQUIPMENT TESTING,The organization employs [Assignment: organization-defined tests] of downgrading equipment and procedures to verify correct performance [Assignment: organization-defined frequency].,Assignment: organization-defined tests,Organization,,,,P0,0,0,0,0,109
1296,SP 800-53 SC-5 (2),SC-5 (2),5 (2),1,(2),EXCESS CAPACITY / BANDWIDTH / REDUNDANCY,"The information system manages excess capacity, bandwidth, or other redundancy to limit the effects of information flooding denial of service attacks.",,Information System,,,,P1,0,0,0,0,188
821,SP 800-53 PE-3 (2),PE-3 (2),3 (2),1,(2),FACILITY / INFORMATION SYSTEM BOUNDARIES,The organization performs security checks [Assignment: organization-defined frequency] at the physical boundary of the facility or information system for unauthorized exfiltration of information or removal of information system components.,Assignment: organization-defined frequency,Organization,,,,P1,0,0,0,0,112
951,SP 800-53 PS-3 (2),PS-3 (2),3 (2),1,(2),FORMAL INDOCTRINATION,"The organization ensures that individuals accessing an information system processing, storing, or transmitting types of classified information which require formal indoctrination, are formally indoctrinated for all of the relevant types of information to which they have access on the system.",,Organization,,,,P1,0,0,0,0,153
1180,SP 800-53 SA-9 (2),SA-9 (2),9 (2),1,(2),IDENTIFICATION OF FUNCTIONS / PORTS / PROTOCOLS / SERVICES,"The organization requires providers of [Assignment: organization-defined external information system services] to identify the functions, ports, protocols, and other services required for the use of such services.",Assignment: organization-defined external information system services,Organization,,,,P1,1,0,1,1,170
86,SP 800-53 AC-21 (2),AC-21 (2),21 (2),1,(2),INFORMATION SEARCH AND RETRIEVAL,The information system implements information search and retrieval services that enforce [Assignment: organization-defined information sharing restrictions].,Assignment: organization-defined information sharing restrictions,Information System,,,,P2,0,0,0,0,19
197,SP 800-53 AT-2 (2),AT-2 (2),2 (2),1,(2),INSIDER THREAT,The organization includes security awareness training on recognizing and reporting potential indicators of insider threat.,,Organization,,,,P1,1,0,1,1,25
691,SP 800-53 MA-3 (2),MA-3 (2),3 (2),1,(2),INSPECT MEDIA,The organization checks media containing diagnostic and test programs for malicious code before the media are used in the information system.,,Organization,,,,P3,0,0,1,1,98
1116,SP 800-53 SA-18 (2),SA-18 (2),18 (2),1,(2),"INSPECTION OF INFORMATION SYSTEMS, COMPONENTS, OR DEVICES","The organization inspects [Assignment: organization-defined information systems, system components, or devices] [Selection (one or more): at random; at [Assignment: organizationdefined frequency], upon [Assignment: organization-defined indications of need for inspection]] to detect tampering.","Assignment: organization-defined information systems, system components, or devices",Organization,,,,P0,1,0,0,0,179
1262,SP 800-53 SC-34 (2),SC-34 (2),34 (2),1,(2),INTEGRITY PROTECTION / READ-ONLY MEDIA,The organization protects the integrity of information prior to storage on read-only media and controls the media after such information has been recorded onto the media.,,Organization,,,,P0,1,0,0,0,214
1255,SP 800-53 SC-31 (2),SC-31 (2),31 (2),1,(2),MAXIMUM BANDWIDTH,The organization reduces the maximum bandwidth for identified covert [Selection (one or more); storage; timing] channels to [Assignment: organization-defined values].,Selection (one or more); storage; timing,Organization,,,,P0,1,0,0,0,212
790,SP 800-53 PE-14 (2),PE-14 (2),14 (2),1,(2),MONITORING WITH ALARMS / NOTIFICATIONS,The organization employs temperature and humidity monitoring that provides an alarm or notification of changes potentially harmful to personnel or equipment.,,Organization,,,,P1,0,0,0,0,122
538,SP 800-53 IA-2 (2),IA-2 (2),2 (2),1,(2),NETWORK ACCESS TO NON-PRIVILEGED ACCOUNTS,The information system implements multifactor authentication for network access to non-privileged accounts.,,Information System,,,,P1,0,0,1,1,76
97,SP 800-53 AC-24 (2),AC-24 (2),24 (2),1,(2),NO USER OR PROCESS IDENTITY,The information system enforces access control decisions based on [Assignment: organization-defined security attributes] that do not include the identity of the user or process acting on behalf of the user.,Assignment: organization-defined security attributes,Information System,,,,P0,0,0,0,0,22
163,SP 800-53 AC-6 (2),AC-6 (2),6 (2),1,(2),NON-PRIVILEGED ACCESS FOR NONSECURITY FUNCTIONS,"The organization requires that users of information system accounts, or roles, with access to [Assignment: organization-defined security functions or security-relevant information], use non-privileged accounts or roles, when accessing nonsecurity functions.",Assignment: organization-defined security functions or security-relevant information,Organization,,,,P1,0,0,1,1,6
1239,SP 800-53 SC-28 (2),SC-28 (2),28 (2),1,(2),OFF-LINE STORAGE,The organization removes from online storage and stores off-line in a secure location [Assignment: organization-defined information].,Assignment: organization-defined information,Organization,,,,P1,0,0,0,0,209
1277,SP 800-53 SC-4 (2),SC-4 (2),4 (2),1,(2),PERIODS PROCESSING,The information system prevents unauthorized information transfer via shared resources in accordance with [Assignment: organization-defined procedures] when system processing explicitly switches between different information classification levels or security categories.,Assignment: organization-defined procedures,Information System,,,,P1,0,0,0,0,187
203,SP 800-53 AT-3 (2),AT-3 (2),3 (2),1,(2),PHYSICAL SECURITY CONTROLS,The organization provides [Assignment: organization-defined personnel or roles] with initial and [Assignment: organization-defined frequency] training in the employment and operation of physical security controls.,Assignment: organization-defined personnel or roles,Organization,,,,P1,1,0,0,0,26
79,SP 800-53 AC-20 (2),AC-20 (2),20 (2),1,(2),PORTABLE STORAGE DEVICES,The organization [Selection: restricts; prohibits] the use of organization-controlled portable storage devices by authorized individuals on external information systems.,Selection: restricts; prohibits,Organization,,,,P1,0,0,1,1,18
1331,SP 800-53 SC-8 (2),SC-8 (2),8 (2),1,(2),PRE / POST TRANSMISSION HANDLING,The information system maintains the [Selection (one or more): confidentiality; integrity] of information during preparation for transmission and during reception.,Selection (one or more): confidentiality; integrity,Information System,,,,P1,0,0,0,0,191
729,SP 800-53 MA-6 (2),MA-6 (2),6 (2),1,(2),PREDICTIVE MAINTENANCE,The organization performs predictive maintenance on [Assignment: organization-defined information system components] at [Assignment: organization-defined time intervals].,Assignment: organization-defined information system components,Organization,,,,P2,0,0,0,0,101
408,SP 800-53 CM-7 (2),CM-7 (2),7 (2),1,(2),PREVENT PROGRAM EXECUTION,The information system prevents program execution in accordance with [Selection (one or more): [Assignment: organization-defined policies regarding software program usage and restrictions]; rules authorizing the terms and conditions of software program usage].,Selection (one or more): [Assignment: organization-defined policies regarding software program usage and restrictions,Information System,,,,P1,0,0,1,1,58
145,SP 800-53 AC-4 (2),AC-4 (2),4 (2),1,(2),PROCESSING DOMAINS,The information system uses protected processing domains to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.,Assignment: organization-defined information flow control policies,Information System,,,,P1,0,0,0,0,4
350,SP 800-53 CM-11 (2),CM-11 (2),11 (2),1,(2),PROHIBIT INSTALLATION WITHOUT PRIVILEGED STATUS,The information system prohibits user installation of software without explicit privileged status.,,Information System,,,,P1,0,0,0,0,62
761,SP 800-53 MP-7 (2),MP-7 (2),7 (2),1,(2),PROHIBIT USE OF SANITIZATION-RESISTANT MEDIA,The organization prohibits the use of sanitization-resistant media in organizational information systems.,,Organization,,,,P1,0,0,0,0,108
34,SP 800-53 AC-17 (2),AC-17 (2),17 (2),1,(2),PROTECTION OF CONFIDENTIALITY / INTEGRITY USING ENCRYPTION,The information system implements cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.,,Information System,,,,P1,0,1,1,1,15
173,SP 800-53 AC-7 (2),AC-7 (2),7 (2),1,(2),PURGE / WIPE MOBILE DEVICE,"The information system purges/wipes information from [Assignment: organization-defined mobile devices] based on [Assignment: organization-defined purging/wiping requirements/techniques] after [Assignment: organization-defined number] consecutive, unsuccessful device logon attempts.",Assignment: organization-defined mobile devices,Information System,,,,P2,0,0,0,0,7
1249,SP 800-53 SC-30 (2),SC-30 (2),30 (2),1,(2),RANDOMNESS,The organization employs [Assignment: organization-defined techniques] to introduce randomness into organizational operations and assets.,Assignment: organization-defined techniques,Organization,,,,P0,1,0,0,0,211
258,SP 800-53 AU-5 (2),AU-5 (2),5 (2),1,(2),REAL-TIME ALERTS,"The information system provides an alert in [Assignment: organization-defined real-time period] to [Assignment: organization-defined personnel, roles, and/or locations] when the following audit failure events occur: [Assignment: organization-defined audit failure events requiring real-time alerts].",Assignment: organization-defined real-time period,Information System,,,,P1,0,0,0,1,32
